year,counts
1920,2147
1921,2600
1922,4251
1923,3104
1924,2139
1925,3020
1926,6180
1927,6236
1928,6710
1929,5103
1930,2684
1931,5645
1932,5283
1933,5181
1934,7731
1935,9939
1936,11404
1937,11449
1938,11947
1939,9464
1940,7875
1941,6761
1942,6209
1943,14816
1944,7231
1945,8825
1946,11528
1947,15072
1948,26474
1949,18164
1950,23469
1951,23231
1952,24991
1953,30200
1954,32719
1955,26655
1956,38763
1957,43045
1958,38603
1959,44598
1960,51472
1961,48542
1962,46139
1963,53612
1964,53550
1965,67845
1966,57560
1967,66982
1968,66943
1969,76509
1971,93794
1972,100536
1980,59868
1981,60732
1982,76835
1983,84041
1984,92336
1985,89571
1986,113581
1987,119193
1988,133372
1989,151082
1990,166651
1991,185505
1992,207537
1993,221333
1994,246254
1995,308833
1996,384122
1997,390944
1998,454960
1999,518928
2000,584433
2001,665814
2002,798157
2003,862817
2004,856641
2005,959609
2006,1066818
2007,1027063
2008,997889
2009,1004529
