mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median(15)
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,0,0,0,1
3,0,0,0,0,0,0,0,0,2,1
18,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
7,0,0,0,6,0,0,0,0,4,1
119,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
359,0,1,0,0,0,1,0,0,0,1
47,0,0,0,0,0,0,0,0,1,0
135,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
47,2,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,4,0
3,0,0,0,0,0,0,0,0,1,1
6,0,0,0,0,0,0,0,0,1,0
53,0,0,0,0,0,0,0,0,3,1
8,1,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,1,0,0,1
8,0,0,0,0,0,0,0,0,1,1
4,0,0,0,0,0,0,0,0,1,0
5,0,0,0,0,0,0,0,0,1,0
13,0,0,0,0,0,0,0,0,1,0
9,1,0,0,0,0,0,0,0,3,0
2,0,0,0,0,1,0,0,0,0,1
155,0,0,0,0,0,0,0,0,3,1
0,0,0,0,0,0,0,0,0,3,0
5,0,0,0,0,0,0,0,0,1,0
143,0,0,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,1
13,0,0,0,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,3,0
7,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1
6,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
4,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,1,0
25,0,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
