mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median (12)
4,0,0,0,0,0,0,0,0,1,1
41,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,2,0,0,1
5,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
9,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,1,1
51,0,0,0,0,0,0,0,0,2,0
24,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,4,1
0,0,0,0,1,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
52,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,1,0
14,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1
71,0,0,0,0,0,0,0,0,1,1
108,0,0,0,0,0,0,0,0,2,0
55,0,0,0,0,0,0,0,0,1,1
3,0,0,1,0,0,0,0,0,0,1
27,1,0,0,0,0,0,0,1,0,1
7,0,0,0,0,1,0,0,0,0,1
23,0,0,0,1,0,0,0,0,2,1
5,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,0,1,0,0,0,1
37,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
4,0,0,0,0,0,0,0,0,1,1
10,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
269,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,1,2,0,0,0,0,1
14,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,4,0,0,0,0,1
4,0,0,0,0,0,1,0,0,0,1
30,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1
108,0,0,0,0,0,0,0,0,1,0
7,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
